G_k,G_theta,PLRV_distortion,target_epsilon
1.86651654661471,1.15404605244618,1.3318222911666,2.12263444954742+39.0817921528486i
1.86651654661471,1.15984527884038,1.33851486549407,0.501867836068744+37.7605100258551i
1.86651654661471,1.16564450523458,1.34520743982154,5.2855063559338+36.2454044670586i
1.86651654661471,1.17144373162878,1.35190001414901,4.5340114848198+34.9625837129786i
1.86651654661471,1.17724295802298,1.35859258847648,4.2148839393731+33.696597235396i
1.86651654661471,1.18304218441718,1.36528516280395,4.34504078340629+32.4474937873767i
1.86651654661471,1.18884141081139,1.37197773713142,4.94283026761855+31.2153387495119i
1.86651654661471,1.19464063720559,1.37867031145889,6.02815726948532+30.0002150745516i
1.86651654661471,1.20043986359979,1.38536288578636,1.33696970479783+28.9819829863158i
1.86651654661471,1.20623908999399,1.39205546011383,3.41859036689644+27.7959342444505i
1.86651654661471,1.21203831638819,1.3987480344413,6.05883656581714+26.6272347226811i
1.92884109178483,1.07661042221811,1.15909000122866,3.88825472278364+32.324007527454i
1.92884109178483,1.08202052484232,1.16491457409916,2.32219980119069+31.3748394510166i
1.92884109178483,1.08743062746654,1.17073914696966,1.12708560889987+30.4374310155822i
1.92884109178483,1.09284073009075,1.17656371984015,0.303910650744749+29.5119994523022i
1.92884109178483,1.09825083271496,1.18238829271065,5.43808294480431+28.4637152729376i
1.92884109178483,1.10366093533917,1.18821286558114,5.40550737203646+27.5648708600205i
1.92884109178483,1.10907103796338,1.19403743845164,0.0841865455952604+26.8095791480006i
1.92884109178483,1.11448114058759,1.19986201132213,0.769721066839483+25.9340186428732i
1.92884109178483,1.11989124321181,1.20568658419263,1.84050076497122+25.0713688383429i
1.92884109178483,1.12530134583602,1.21151115706313,3.30093496602446+24.2217892905028i
1.92884109178483,1.13071144846023,1.21733572993362,5.15605750812633+23.3854314674055i
1.92884109178483,1.13612155108444,1.22316030280412,1.53439808410712+22.6817585282726i
1.92884109178483,1.14153165370865,1.22898487567461,4.15765317304752+21.8696985300586i
1.92884109178483,1.14694175633286,1.23480944854511,1.23082451517851+21.1856354894235i
1.92884109178483,1.15235185895708,1.2406340214156,4.65207563021635+20.3981625114841i
1.92884109178483,1.15776196158129,1.2464585942861,2.45480471696339+19.7338158351618i
1.92884109178483,1.1631720642055,1.2522831671566,0.614116263315979+19.0781692038729i
1.92884109178483,1.16858216682971,1.25810774002709,5.28354626497711+18.3267083379324i
1.92884109178483,1.17399226945392,1.26393231289759,4.23737403269428+17.6909440339869i
1.92884109178483,1.17940237207813,1.26975688576808,3.58519534570781+17.0639381385431i
1.92884109178483,1.18481247470235,1.27558145863858,3.34171681573192+16.4457129166279i
1.92884109178483,1.19022257732656,1.28140603150908,3.52279604792537+15.8362964871235i
1.92884109178483,1.19563267995077,1.28723060437957,4.14553718817476+15.2357231877886i
1.99324670553037,1.00679921154737,1.01364465237241,2.54331651709627+4.47405335851318i
1.99324670553037,1.01185850406771,1.01873834409287,0.653697770185074+4.36196508469986i
1.99324670553037,1.01691779658805,1.02383203581333,4.38156752523842+4.23677436292297i
1.99324670553037,1.02197708910839,1.0289257275338,3.41023139421714+4.12555252780056i
1.99324670553037,1.02703638162872,1.03401941925426,2.87622132984869+4.01494251052697i
1.99324670553037,1.03209567414906,1.03911311097473,2.77506693744715+3.90503056665654i
1.99324670553037,1.0371549666694,1.04420680269519,3.10270340043552+3.79590071020877i
1.99324670553037,1.04221425918974,1.04930049441566,3.85545727829654+3.68763455728625i
1.99324670553037,1.04727355171008,1.05439418613612,5.03003457650662+3.58031117927444i
1.99324670553037,1.05233284423042,1.05948787785658,1.24647462194677+3.48749057356355i
1.99324670553037,1.05739213675076,1.06458156957705,3.22646015094162+3.38220102533556i
1.99324670553037,1.06245142927109,1.06967526129751,0.172658148354972+3.29135900437891i
1.99324670553037,1.06751072179143,1.07476895301798,2.94945544641283+3.18832086204365i
1.99324670553037,1.07257001431177,1.07986264473844,0.618856670445711+3.09960992424398i
1.99324670553037,1.07762930683211,1.08495633645891,4.18702598869782+2.99902240537002i
1.99324670553037,1.08268859935245,1.09005002817937,2.57636864044627+2.91258008861382i
1.99324670553037,1.08774789187279,1.09514371989984,1.30552399806467+2.82723955653963i
1.99324670553037,1.09280718439313,1.1002374116203,0.375191072551962+2.74302028745371i
1.99324670553037,1.09786647691346,1.10533110334076,5.49351095626973+2.6476702812293i
1.99324670553037,1.1029257694338,1.11042479506123,5.2870003315084+2.56593234137098i
1.99324670553037,1.10798506195414,1.11551848678169,5.42536420090912+2.4853751111218i
1.99324670553037,1.11304435447448,1.12061217850216,0.0881154751263173+2.41770680475692i
1.99324670553037,1.11810364699482,1.12570587022262,0.886082350313511+2.33934799255829i
1.99324670553037,1.12316293951516,1.13079956194309,2.03802144912756+2.26220505258558i
1.99324670553037,1.12822223203549,1.13589325366355,3.54781182536643+2.18629040490257i
1.99324670553037,1.13328152455583,1.14098694538401,5.41983800423774+2.11161560877194i
1.99324670553037,1.13834081707617,1.14608063710448,1.6402000504367+2.04881838514554i
1.99324670553037,1.14340010959651,1.15117432882494,4.21585614960911+1.97642140598352i
1.99324670553037,1.14845940211685,1.15626802054541,1.07050912647115+1.91547480502982i
1.99324670553037,1.15351869463719,1.16136171226587,4.37544210886333+1.84537601812305i
1.99324670553037,1.15857798715753,1.16645540398634,1.89424605143959+1.78628691008515i
1.99324670553037,1.16363727967786,1.1715490957068,5.95904701511981+1.71850490571698i
1.99324670553037,1.1686965721982,1.17664278742726,4.17702982810606+1.66128030176231i
1.99324670553037,1.17375586471854,1.18173647914773,2.73829512497733+1.60488190801722i
1.99324670553037,1.17881515723888,1.18683017086819,1.65434261620073+1.54931032826901i
1.99324670553037,1.18387444975922,1.19192386258866,7.32037892972115+1.48595595253529i
2.0598028764678,0.943571698288731,0.890327549811481,4.45596437339419-53.5394923701735i
2.0598028764678,0.94831326461179,0.894801557599478,1.22639006952083-52.5441434854555i
2.0598028764678,0.953054830934849,0.899275565387475,3.63148051808225-51.4431870221358i
2.0598028764678,0.957796397257908,0.903749573175473,1.49115433935497-50.4174358828982i
2.0598028764678,0.962537963580967,0.90822358096347,4.97386837751228-49.2820968935457i
2.0598028764678,0.967279529904026,0.912697588751468,3.89374595915934-48.2306780417302i
2.0598028764678,0.972021096227085,0.917171596539465,3.32885264289634-47.1696205088595i
2.0598028764678,0.976762662550144,0.921645604327462,3.27254571880039-46.1001488832842i
2.0598028764678,0.981504228873203,0.92611961211546,3.71860064584643-45.0235240971072i
2.0598028764678,0.986245795196262,0.930593619903457,4.6611620839017-43.941038423935i
2.0598028764678,0.990987361519321,0.935067627691455,0.931143129889264-42.9651255905696i
2.0598028764678,0.99572892784238,0.939541635479452,2.836520301948-41.8765642257364i
2.0598028764678,1.00047049416544,0.944015643267449,5.22213622602237-40.7859606706832i
2.0598028764678,1.0052120604885,0.948489651055447,2.86443971846163-39.8098551032672i
2.0598028764678,1.00995362681156,0.952963658843444,0.935203695662723-38.8362872843286i
