G_k,G_theta,PLRV_distortion,target_epsilon
1.30053242818603,3.32742794524985,11.0717767308296,3.68368281312948+2.74601702626313i
1.34395829130667,2.90732924681389,8.45256334937941,5.47256322818209+21.4519382771804i
1.34395829130667,2.92193894152149,8.49503854208985,3.64373542202926+21.1316750970333i
1.34395829130667,2.9365486362291,8.5375137348003,1.90700144926397+20.7803160602107i
1.34395829130667,2.95115833093671,8.57998892751075,0.277650444211535+20.3978173830444i
1.34395829130667,2.96576802564432,8.6224641202212,5.38803399677057+19.1030033754964i
1.34395829130667,2.98037772035192,8.66493931293165,4.09743440442975+18.6785712580028i
1.34395829130667,2.99498741505953,8.7074145056421,2.96659103593557+18.2230621424849i
1.34395829130667,3.00959710976714,8.74988969835255,2.01787741335836+17.7362298320224i
1.34395829130667,3.02420680447475,8.792364891063,1.27631422070054+17.2177748981638i
1.34395829130667,3.03881649918235,8.83484008377345,0.770113813748551+16.6673548895542i
1.34395829130667,3.05342619388996,8.8773152764839,0.531360497229464+16.0845970122144i
1.34395829130667,3.06803588859757,8.91979046919435,0.596870449066565+15.4691139618847i
1.34395829130667,3.08264558330518,8.9622656619048,1.00929256720563+14.820523784125i
1.34395829130667,3.09725527801278,9.00474085461525,1.81853729043141+14.1384749008304i
1.34395829130667,3.11186497272039,9.0472160473257,3.08365943271458+13.4226778020868i
1.34395829130667,3.126474667428,9.08969124003614,4.87538141195481+12.6729454055772i
1.34395829130667,3.14108436213561,9.13216643274659,7.27953907362771+11.88924480421i
1.34395829130667,3.15569405684321,9.17464162545704,2.99802658947765+11.6014180617431i
1.34395829130667,3.17030375155082,9.21711681816749,6.92198601465585+10.7132388642831i
1.34395829130667,3.18491344625843,9.25959201087794,4.32338110269534+10.2686786821897i
1.34395829130667,3.19952314096604,9.30206720358839,2.83620589229292+9.72939259919723i
1.34395829130667,3.21413283567364,9.34454239629884,2.76623526573957+9.08609502200755i
1.34395829130667,3.22874253038125,9.38701758900929,4.53530669973038+8.329315478198i
1.34395829130667,3.24335222508886,9.42949278171974,0.853869269702406+7.84165069441838i
1.34395829130667,3.25796191979647,9.47196797443019,0.378952484310891+7.15314648917848i
1.34395829130667,3.27257161450407,9.51444316714064,4.65325567739702+6.22649913090933i
1.34395829130667,3.28718130921168,9.55691835985109,8.280562610212+5.31757260840732i
1.34395829130667,3.30179100391929,9.59939355256154,0.259966388894696+4.74808982472656i
1.34395829130667,3.3164006986269,9.64186874527199,5.66095445431061+3.57787345810198i
1.34395829130667,3.3310103933345,9.68434393798243,1.5570018927112+2.09077725269726i
1.38883418023742,2.57179036932762,6.61410570376631,2.32551763951924+40.1322925964944i
1.38883418023742,2.58471393902274,6.64734241584553,4.18640925384449+38.6200339844723i
1.38883418023742,2.59763750871785,6.68057912792476,1.09741177411444+38.9280932234688i
1.38883418023742,2.61056107841296,6.71381584000399,3.06581092186378+37.4448720204732i
1.38883418023742,2.62348464810808,6.74705255208322,5.1034351232506+36.005580664842i
1.38883418023742,2.63640821780319,6.78028926416245,2.02380569830921+36.2440021957066i
1.38883418023742,2.6493317874983,6.81352597624167,4.17623562705998+34.8312237572415i
1.38883418023742,2.66225535719342,6.8467626883209,1.07827915395915+35.0189899527371i
1.38883418023742,2.67517892688853,6.87999940040013,3.35197649960023+33.6317916618054i
1.38883418023742,2.68810249658365,6.91323611247936,0.248356298533828+33.7711549705183i
1.38883418023742,2.70102606627876,6.94647282455858,2.65068087316023+32.4087093195848i
1.38883418023742,2.71394963597387,6.97970953663781,5.13043561572444+31.085671214136i
1.38883418023742,2.72687320566899,7.01294624871704,2.09404002166364+31.1631940574436i
1.38883418023742,2.7397967753641,7.04618296079627,4.71482533697135+29.8632743201116i
1.38883418023742,2.75272034505921,7.0794196728755,1.70577865698663+29.8962925417632i
1.38883418023742,2.76564391475433,7.11265638495472,4.4779480175308+28.6189793998781i
1.38883418023742,2.77856748444944,7.14589309703395,1.51209559939855+28.6089160572031i
1.38883418023742,2.79149105414455,7.17912980911318,4.44756820361686+27.3538003437783i
1.38883418023742,2.80441462383967,7.21236652119241,1.54220213437813+27.3018751587682i
1.38883418023742,2.81733819353478,7.24560323327163,4.65476698951014+26.0686551759252i
1.38883418023742,2.8302617632299,7.27883994535086,1.82898814851122+25.9759147674902i
1.38883418023742,2.84318533292501,7.31207665743009,5.13468705717546+24.7644028270625i
1.38883418023742,2.85610890262012,7.34531336950932,2.4098572056534+24.6317508547753i
1.38883418023742,2.86903247231524,7.37855008158854,5.92747283667013+23.4418818062033i
1.38883418023742,2.88195604201035,7.41178679366777,3.32778773718574+23.2701099985945i
1.38883418023742,2.89487961170546,7.445023505747,0.760219330296742+23.0728637446332i
1.38883418023742,2.90780318140058,7.47826021782623,4.63270111077747+21.8917733140891i
1.38883418023742,2.92072675109569,7.51149692990546,2.23478990162286+21.6562665045977i
1.38883418023742,2.93365032079081,7.54473364198468,6.38325279844707+20.4976265903673i
1.38883418023742,2.94657389048592,7.57797035406391,4.18997132091179+20.2244425752475i
1.38883418023742,2.95949746018103,7.61120706614314,2.07721059133962+19.9258496930268i
1.38883418023742,2.97242102987615,7.64444377822237,6.70217910534306+18.7784674144516i
1.38883418023742,2.98534459957126,7.67768049030159,4.86061420986361+18.4427337415868i
1.38883418023742,2.99826816926637,7.71091720238082,3.14004316323529+18.0812368502728i
1.38883418023742,3.01119173896149,7.74415391446005,1.55741723620211+17.6936320679668i
1.38883418023742,3.0241153086566,7.77739062653928,0.131383406395282+17.2795149383215i
1.38883418023742,3.03703887835171,7.8106273386185,5.80448162141958+16.12509385463i
1.38883418023742,3.04996244804683,7.84386405069773,4.81815834010765+15.674071158959i
1.38883418023742,3.06288601774194,7.87710076277696,4.05642336033028+15.1959081031628i
1.38883418023742,3.07580958743706,7.91033747485619,3.5488024645417+14.6901201771631i
1.38883418023742,3.08873315713217,7.94357418693541,3.32902657067423+14.1562087322147i
1.38883418023742,3.10165672682728,7.97681089901464,3.43597234205014+13.5936772096178i
1.38883418023742,3.1145802965224,8.01004761109387,3.91487062162671+13.0020517925232i
1.38883418023742,3.12750386621751,8.0432843231731,4.81888073568673+12.3809077308447i
1.38883418023742,3.14042743591262,8.07652103525233,6.2111732730681+11.7299029860463i
1.38883418023742,3.15335100560774,8.10975774733155,0.738682917459643+11.5640182442176i
1.38883418023742,3.16627457530285,8.14299445941078,3.30180299948041+10.8237243342997i
1.38883418023742,3.17919814499797,8.17623117149001,6.6375176128563+10.0517757349516i
1.38883418023742,3.19212171469308,8.20946788356924,3.27660576319477+9.69437454005787i
1.38883418023742,3.20504528438819,8.24270459564846,0.890522218118697+9.25754809606062i
1.38883418023742,3.21796885408331,8.27594130772769,7.5017945576007+8.31761524322763i
1.38883418023742,3.23089242377842,8.30917801980692,0.128903624819871+8.11094533900421i
1.38883418023742,3.24381599347353,8.34241473188615,2.55923033760738+7.38328491819567i
1.38883418023742,3.25673956316865,8.37565144396537,7.70791721756097+6.54186623753433i
1.38883418023742,3.26966313286376,8.4088881560446,0.445563105161507+6.20986231991989i
1.38883418023742,3.28258670255887,8.44212486812383,6.63038205695246+5.30590687000407i
1.38883418023742,3.29551027225399,8.47536158020306,5.00992545320979+4.65989956283677i
1.38883418023742,3.3084338419491,8.50859829228228,2.61270957332109+3.95079275790375i
1.38883418023742,3.32135741164422,8.54183500436151,6.93633955726818+2.90522429857336i
1.4352085125502,2.29774917347153,5.27965126418912,1.7697793735585+72.9406019837929i
1.4352085125502,2.30929565173019,5.30618217506444,1.76701416750768+70.889605148504i
1.4352085125502,2.32084212998884,5.33271308593977,1.86042587096253+68.8748307425645i
1.4352085125502,2.33238860824749,5.35924399681509,2.04674315122482+66.8972250323784i
1.4352085125502,2.34393508650614,5.38577490769041,2.3227969850402+64.9575696274746i
1.4352085125502,2.35548156476479,5.41230581856573,2.68552858855273+63.0564888492587i
1.4352085125502,2.36702804302344,5.43883672944106,3.13199648923511+61.1944579677882i
1.4352085125502,2.37857452128209,5.46536764031638,3.65938268073724+59.3718120954049i
1.4352085125502,2.39012099954074,5.4918985511917,0.389197605834203+59.9494108062593i
1.4352085125502,2.40166747779939,5.51842946206702,1.00607282678285+58.1648514930155i
1.4352085125502,2.41321395605804,5.54496037294234,1.69909095171944+56.4183182119018i
1.4352085125502,2.4247604343167,5.57149128381767,2.46596549830246+54.709895272085i
1.4352085125502,2.43630691257535,5.59802219469299,3.30453581314181+53.0395647316456i
1.4352085125502,2.447853390834,5.62455310556831,4.21276977180163+51.4072150693739i
1.4352085125502,2.45939986909265,5.65108401644363,0.892692849038164+51.9178064686931i
1.4352085125502,2.4709463473513,5.67761492731896,1.884417969969+50.3153891111543i
1.4352085125502,2.48249282560995,5.70414583819428,2.94312448084362+48.7493991148994i
1.4352085125502,2.4940393038686,5.7306767490696,4.06725732851074+47.2195913120146i
1.4352085125502,2.50558578212725,5.75720765994492,0.694995645300888+47.6645284734036i
1.4352085125502,2.5171322603859,5.78373857082024,1.9028955515009+46.1604472384764i
1.4352085125502,2.52867873864455,5.81026948169557,3.17469210195744+44.6910716299267i
1.4352085125502,2.5402252169032,5.83680039257089,4.50927473515857+43.256067908808i
1.4352085125502,2.55177169516186,5.86333130344621,1.10688199146471+43.6336594019344i
1.4352085125502,2.56331817342051,5.88986221432153,2.52767985679732+42.2209065497756i
1.4352085125502,2.57486465167916,5.91639312519685,4.01080774482493+40.8411547007078i
1.4352085125502,2.58641112993781,5.94292403607218,0.573804492112332+41.1632341319735i
1.4352085125502,2.59795760819646,5.9694549469475,2.14675744245941+39.8037583450795i
1.4352085125502,2.60950408645511,5.99598585782282,3.78233520611566+38.4760358952497i
1.4352085125502,2.62105056471376,6.02251676869814,0.326599771414008+38.7441612348347i
1.4352085125502,2.63259704297241,6.04904767957347,2.05675265056204+37.4350369635363i
1.4352085125502,2.64414352123106,6.07557859044879,3.85059944967538+36.1565347436903i
1.4352085125502,2.65568999948971,6.10210950132411,0.392895097650942+36.3721403316416i
1.4352085125502,2.66723647774836,6.12864041219943,2.2873340425746+35.1108262424698i
1.4352085125502,2.67878295600702,6.15517132307476,4.24736383895655+33.879112937618i
1.4352085125502,2.69032943426567,6.18170223395008,0.805692319389232+34.0435217985775i
1.4352085125502,2.70187591252432,6.2082331448254,2.87378231308623+32.8278318359084i
1.4352085125502,2.71342239078297,6.23476405570072,5.01027674623623+31.6408257374843i
1.4352085125502,2.72496886904162,6.26129496657604,1.60430971758829+31.7552677815638i
1.4352085125502,2.73651534730027,6.28782587745137,3.85803948268963+30.5833487096488i
1.4352085125502,2.74806182555892,6.31435678832669,0.457180450451078+30.6621118904569i
1.4352085125502,2.75960830381757,6.34088769920201,2.83565566419957+29.5049319319643i
1.4352085125502,2.77115478207622,6.36741861007733,5.29012092898232+28.3752470562541i
