G_k,G_theta,PLRV_distortion,target_epsilon
1.34395829130667,2.90732924681389,8.45256334937941,3.45126081378175+90.1754108146402i
1.34395829130667,2.92193894152149,8.49503854208985,4.19877068009634+87.5414959887454i
1.34395829130667,2.9365486362291,8.5375137348003,5.51339245413178+84.8466716821777i
1.34395829130667,2.95115833093671,8.57998892751075,1.21402764710302+82.931358558964i
1.34395829130667,2.96576802564432,8.6224641202212,3.78610160595465+80.0877142555533i
1.34395829130667,2.98037772035192,8.66493931293165,0.760530679498722+77.973172564631i
1.34395829130667,2.99498741505953,8.7074145056421,4.87251389877976+74.9834426714171i
1.34395829130667,3.00959710976714,8.74988969835255,3.44219150225037+72.6708100637947i
1.34395829130667,3.02420680447475,8.792364891063,2.92534498219776+70.2474780668421i
1.34395829130667,3.03881649918235,8.83484008377345,3.43816813641938+67.713034915403i
1.34395829130667,3.05342619388996,8.8773152764839,5.11322023347775+65.0670729742593i
1.34395829130667,3.06803588859757,8.91979046919435,1.39812288846282+62.9490668898231i
1.34395829130667,3.08264558330518,8.9622656619048,5.82678512817988+60.0516324734243i
1.34395829130667,3.09725527801278,9.00474085461525,5.13502755009093+57.6312655282684i
1.34395829130667,3.11186497272039,9.0472160473257,6.27899031319934+55.0446295708291i
1.34395829130667,3.126474667428,9.08969124003614,2.60561867372904+52.8356786930581i
1.38883418023742,2.57179036932762,6.61410570376631,2.12274295897205+165.334637114668i
1.38883418023742,2.58471393902274,6.64734241584553,0.480879796450259+162.520677371507i
1.38883418023742,2.59763750871785,6.68057912792476,3.73256820317002+158.036729309231i
1.38883418023742,2.61056107841296,6.71381584000399,2.35110335077967+155.242515441975i
1.38883418023742,2.62348464810808,6.74705255208322,1.07773172033213+152.437749660764i
1.38883418023742,2.63640821780319,6.78028926416245,4.89231775364512+148.088594669035i
1.38883418023742,2.6493317874983,6.81352597624167,3.92176842920353+145.301089495702i
1.38883418023742,2.66225535719342,6.8467626883209,3.08410549933241+142.50315601972i
1.38883418023742,2.67517892688853,6.87999940040013,2.38880224059945+139.695089897597i
1.38883418023742,2.68810249658365,6.91323611247936,1.84575809477942+136.877167164858i
1.38883418023742,2.70102606627876,6.94647282455858,1.46533876338675+134.049646980224i
1.38883418023742,2.71394963597387,6.97970953663781,1.25842014827546+131.212774357854i
1.38883418023742,2.72687320566899,7.01294624871704,1.2364366403171+128.366782905791i
1.38883418023742,2.7397967753641,7.04618296079627,1.4114343321416+125.511897588917i
1.38883418023742,2.75272034505921,7.0794196728755,1.7961298189096+122.648337535339i
1.38883418023742,2.76564391475433,7.11265638495472,2.40397535689639+119.776318905724i
1.38883418023742,2.77856748444944,7.14589309703395,3.24923127069935+116.896057846553i
1.38883418023742,2.79149105414455,7.17912980911318,4.34704664753101+114.007773549121i
1.38883418023742,2.80441462383967,7.21236652119241,0.0366743415008147+112.206154606755i
1.38883418023742,2.81733819353478,7.24560323327163,1.64200217052857+109.2718060715i
1.38883418023742,2.8302617632299,7.27883994535086,3.55252074288123+106.330434490935i
1.38883418023742,2.84318533292501,7.31207665743009,5.78793197207908+103.382279552419i
1.38883418023742,2.85610890262012,7.34531336950932,2.49321351946362+101.408590612409i
1.38883418023742,2.86903247231524,7.37855008158854,5.40007801353418+98.4178874614007i
1.38883418023742,2.88195604201035,7.41178679366777,2.72317294466945+96.3505861226622i
1.38883418023742,2.89487961170546,7.445023505747,0.368394211408833+94.2262668361663i
1.38883418023742,2.90780318140058,7.47826021782623,4.4585392429187+91.1604851598447i
1.38883418023742,2.92072675109569,7.51149692990546,2.90063133884263+88.9457349478843i
1.38883418023742,2.93365032079081,7.54473364198468,1.76696941392097+86.6753710531494i
1.38883418023742,2.94657389048592,7.57797035406391,1.09789604361881+84.3497569115893i
1.38883418023742,2.95949746018103,7.61120706614314,0.937392532178506+81.969225695366i
1.38883418023742,2.97242102987615,7.64444377822237,1.33361453413573+79.5340949928968i
1.38883418023742,2.98534459957126,7.67768049030159,2.33952386462005+77.0446831247085i
1.38883418023742,2.99826816926637,7.71091720238082,4.01363840350914+74.5013274300053i
1.38883418023742,3.01119173896149,7.74415391446005,6.42092803184855+71.9044049198168i
1.38883418023742,3.0241153086566,7.77739062653928,3.09095416416401+69.9318988541143i
1.38883418023742,3.03703887835171,7.8106273386185,0.545443329977729+67.8639941373219i
1.38883418023742,3.04996244804683,7.84386405069773,5.53545538190209+65.0590586024772i
1.38883418023742,3.06288601774194,7.87710076277696,4.91090967659202+62.8166602105667i
1.38883418023742,3.07580958743706,7.91033747485619,5.3940512124586+60.4763644139651i
1.38883418023742,3.08873315713217,7.94357418693541,0.309368149632819+58.6164294501824i
1.38883418023742,3.10165672682728,7.97681089901464,3.39840344315209+56.0552516142992i
1.4352085125502,2.29774917347153,5.27965126418912,1.44436571029155+297.851161151999i
1.4352085125502,2.30929565173019,5.30618217506444,1.67977196287813+289.382582269661i
1.4352085125502,2.32084212998884,5.33271308593977,2.30663316917448+281.074151580955i
1.4352085125502,2.33238860824749,5.35924399681509,3.3110625951342+272.92888728623i
1.4352085125502,2.34393508650614,5.38577490769041,1.26704703463902+267.312867500396i
1.4352085125502,2.35548156476479,5.41230581856573,2.91853081949047+259.465151843726i
1.4352085125502,2.36702804302344,5.43883672944106,1.34952138912197+254.072202420542i
1.4352085125502,2.37857452128209,5.46536764031638,3.60982622238204+246.519687554465i
1.4352085125502,2.39012099954074,5.4918985511917,2.48977901162233+241.342216375418i
1.4352085125502,2.40166747779939,5.51842946206702,1.54855522518189+236.249065389727i
1.4352085125502,2.41321395605804,5.54496037294234,0.783338309293643+231.238039082398i
1.4352085125502,2.4247604343167,5.57149128381767,0.191693821427335+226.306996586227i
1.4352085125502,2.43630691257535,5.59802219469299,3.75914307214179+219.407546370603i
