G_k,G_theta,PLRV_distortion,target_epsilon
1.4352085125502,2.29774917347153,5.27965126418912,3.46681681418125+14.6744114635515i
1.4352085125502,2.30929565173019,5.30618217506444,4.33455682039287+13.930677618736i
1.4352085125502,2.32084212998884,5.33271308593977,5.66506314994245+13.161215242292i
1.4352085125502,2.33238860824749,5.35924399681509,0.272816786985953+12.9111013359269i
1.4352085125502,2.34393508650614,5.38577490769041,2.69673231215676+12.0593560741828i
1.4352085125502,2.35548156476479,5.41230581856573,5.84451829905425+11.1815128617336i
1.4352085125502,2.36702804302344,5.43883672944106,2.38300178655388+10.7470802108248i
1.4352085125502,2.37857452128209,5.46536764031638,7.3494321144408+9.78272626102105i
1.4352085125502,2.39012099954074,5.4918985511917,5.94537264943063+9.2075468015315i
1.4352085125502,2.40166747779939,5.51842946206702,5.92478081130863+8.54645405527403i
1.4352085125502,2.41321395605804,5.54496037294234,7.68435324084889+7.79314264479346i
1.4352085125502,2.4247604343167,5.57149128381767,3.9100943574331+7.29106024722991i
1.4352085125502,2.43630691257535,5.59802219469299,3.14541932448724+6.62488765213054i
1.4352085125502,2.447853390834,5.62455310556831,6.74833427827345+5.76834866975338i
1.4352085125502,2.45939986909265,5.65108401644363,0.680338074706714+5.2407168367099i
1.4352085125502,2.4709463473513,5.67761492731896,5.69505100964262+4.28248836696523i
1.4352085125502,2.48249282560995,5.70414583819428,8.56062073629426+3.33975014096817i
1.4352085125502,2.4940393038686,5.7306767490696,2.04395726727653+2.36974164127936i
1.48313132252004,2.06983060999636,4.28419875407791,2.400251846561+28.9336150023634i
1.48313132252004,2.08023176884056,4.30572739103307,5.29813602300212+27.6126408746524i
1.48313132252004,2.09063292768477,4.32725602798824,2.40645884339424+27.3449443768009i
1.48313132252004,2.10103408652897,4.3487846649434,5.52103536679094+26.0534768099637i
1.48313132252004,2.11143524537317,4.37031330189857,2.7394815536414+25.7589939422755i
1.48313132252004,2.12183640421737,4.39184193885373,6.08931186197673+24.496674651842i
1.48313132252004,2.13223756306158,4.4133705758089,3.44238383363502+24.1756867141517i
1.48313132252004,2.14263872190578,4.43489921276406,0.832444567562803+23.834388959694i
1.48313132252004,2.15303988074998,4.45642784971923,4.56544378498101+22.5951440107549i
1.48313132252004,2.16344103959419,4.47795648667439,2.13523643895128+22.2277524815153i
1.48313132252004,2.17384219843839,4.49948512362956,6.1679564258742+21.017731386918i
1.48313132252004,2.18424335728259,4.52101376058472,3.95298792515271+20.6245192055748i
1.48313132252004,2.19464451612679,4.54254239753989,1.82382947802879+20.2111717551475i
1.48313132252004,2.205045674971,4.56407103449506,6.3631661269052+19.0254646437309i
1.48313132252004,2.2154468338152,4.58559967145022,4.5167457334039+18.5866685969467i
1.48313132252004,2.2258479926594,4.60712830840539,2.79690329088241+18.1275900910783i
