G_k,G_theta,PLRV_distortion,target_epsilon
1.69136768308663,1.44640836484499,2.09209715789356,2.64503889364068+55.9325434482103i
1.69136768308663,1.45367674858793,2.10261020893825,2.666933223858+53.673969899776i
1.69136768308663,1.46094513233087,2.11312325998294,3.41736782721522+51.4195421827591i
1.69136768308663,1.46821351607381,2.12363631102763,4.95660399604735+49.1697124393002i
1.74784386153519,1.33717751984642,1.78804371958262,1.54309101648335+79.4405484887144i
1.74784386153519,1.34389700487077,1.79702886390213,4.84396342215309+76.6437288713703i
1.74784386153519,1.35061648989513,1.80601400822164,2.86303603980781+74.3432884428557i
1.74784386153519,1.35733597491948,1.81499915254115,1.22579325933034+72.0642220929413i
1.74784386153519,1.36405545994383,1.82398429686066,5.7592769469892+69.3711140668066i
1.74784386153519,1.37077494496819,1.83296944118017,4.90078478987568+67.1442569105779i
1.74784386153519,1.37749442999254,1.84195458549968,4.42793131295167+64.9386030636202i
1.74784386153519,1.3842139150169,1.85093972981919,4.35731418607793+62.7541345326101i
1.74784386153519,1.39093340004125,1.8599248741387,4.70688512646294+60.5908689662544i
1.74784386153519,1.3976528850656,1.86891001845821,5.49607295221511+58.448861559366i
1.74784386153519,1.40437237008996,1.87789516277772,0.635726777387555+56.7035154340478i
1.74784386153519,1.41109185511431,1.88688030709724,2.32176975854604+54.5940397156714i
1.74784386153519,1.41781134013866,1.89586545141675,4.51661490705936+52.5061437931974i
1.74784386153519,1.42453082516302,1.90485059573626,0.988381275499884+50.7860574098516i
1.74784386153519,1.43125031018737,1.91383574005577,4.23837068885655+48.731485099097i
1.74784386153519,1.43796979521173,1.92282088437528,1.72832204387343+47.0259338804488i
1.74784386153519,1.44468928023608,1.93180602869479,6.1636641382707+45.0056433589188i
1.74784386153519,1.45140876526043,1.9407911730143,4.8162335247431+43.3154574050611i
1.80620582671366,1.24037803606096,1.53853767234245,3.99989881596804+95.5470565960802i
1.80620582671366,1.24661109151855,1.5462690174296,1.48113886457503+93.1063107904993i
1.80620582671366,1.25284414697615,1.55400036251675,4.43126207393636+90.2644908070358i
1.80620582671366,1.25907720243374,1.56173170760389,2.60448632008045+87.8777852157834i
1.80620582671366,1.26531025789133,1.56946305269104,1.10113341509355+85.5167506318003i
1.80620582671366,1.27154331334893,1.57719439777819,5.18990506815674+82.7696015863542i
1.80620582671366,1.27777636880652,1.58492574286534,4.38036094347096+80.4659706922905i
1.80620582671366,1.28400942426411,1.59265708795248,3.89775169463679+78.1891308964688i
1.80620582671366,1.2902424797217,1.60038843303963,3.74434772708046+75.9393404844474i
1.80620582671366,1.2964755351793,1.60811977812678,3.92292161461159+73.7168488932324i
1.80620582671366,1.30270859063689,1.61585112321393,4.43676005801239+71.5218977465576i
1.80620582671366,1.30894164609448,1.62358246830108,5.28967830531908+69.3547218363987i
1.80620582671366,1.31517470155208,1.63131381338822,0.917926919777657+67.5864847066569i
1.80620582671366,1.32140775700967,1.63904515847537,2.42131429855733+65.4688084429677i
1.80620582671366,1.32764081246726,1.64677650356252,4.27897688045603+63.3793958120171i
1.80620582671366,1.33387386792485,1.65450784864967,0.795936591469427+61.6695466364613i
1.80620582671366,1.34010692338245,1.66223919373682,3.3410942919762+59.6301362315088i
1.80620582671366,1.34633997884004,1.66997053882396,0.470504032082861+57.9570023194053i
1.80620582671366,1.35257303429763,1.67770188391111,3.73461889240493+55.9679122776314i
1.80620582671366,1.35880608975522,1.68543322899826,1.51272259690736+54.3314277962063i
1.80620582671366,1.36503914521282,1.69316457408541,5.53314156314078+52.3930628542386i
1.80620582671366,1.37127220067041,1.70089591917256,4.00235909092871+50.7932849239969i
1.80620582671366,1.377505256128,1.7086272642597,2.81179565827742+49.208567111289i
1.80620582671366,1.3837383115856,1.71635860934685,1.97530500468553+47.6389136623973i
